[12 10:54:58] TOTAL/Train 38/56851, lr:[9.99349175915991e-06], loss0-0.685523, loss1-0.499048, loss2-0.626279, loss3-0.360903
[12 10:54:59] TOTAL/Train 39/56851, lr:[9.993315860758827e-06], loss0-0.674129, loss1-0.527072, loss2-0.614267, loss3-0.895076
[12 10:55:00] TOTAL/Train 40/56851, lr:[9.993139962357743e-06], loss0-0.690848, loss1-0.493803, loss2-0.898677, loss3-0.327771
[12 10:55:02] TOTAL/Train 41/56851, lr:[9.99296406395666e-06], loss0-0.673840, loss1-0.584101, loss2-0.609607, loss3-0.507874
[12 10:55:03] TOTAL/Train 42/56851, lr:[9.992788165555575e-06], loss0-0.642646, loss1-0.510543, loss2-0.576160, loss3-0.376987
[12 10:55:04] TOTAL/Train 43/56851, lr:[9.992612267154492e-06], loss0-0.710633, loss1-0.506350, loss2-0.479618, loss3-0.377528
[12 10:55:05] TOTAL/Train 44/56851, lr:[9.992436368753408e-06], loss0-0.676892, loss1-0.530018, loss2-0.645620, loss3-0.815207
[12 10:55:06] TOTAL/Train 45/56851, lr:[9.992260470352325e-06], loss0-0.682644, loss1-0.510581, loss2-0.586791, loss3-0.852051
[12 10:55:07] TOTAL/Train 46/56851, lr:[9.992084571951242e-06], loss0-0.700501, loss1-0.473136, loss2-0.809515, loss3-0.682667
[12 10:55:08] TOTAL/Train 47/56851, lr:[9.991908673550158e-06], loss0-0.688949, loss1-0.516253, loss2-0.511872, loss3-0.736064
[12 10:55:09] TOTAL/Train 48/56851, lr:[9.991732775149075e-06], loss0-0.662288, loss1-0.485964, loss2-0.512280, loss3-0.679481
[12 10:55:10] TOTAL/Train 49/56851, lr:[9.99155687674799e-06], loss0-0.704402, loss1-0.506933, loss2-0.790435, loss3-0.404750
[12 10:55:11] TOTAL/Train 50/56851, lr:[9.991380978346907e-06], loss0-0.707609, loss1-0.506081, loss2-0.713070, loss3-0.786222
[12 10:55:12] TOTAL/Train 51/56851, lr:[9.991205079945825e-06], loss0-0.723742, loss1-0.488874, loss2-0.666305, loss3-0.303254
[12 10:55:13] TOTAL/Train 52/56851, lr:[9.99102918154474e-06], loss0-0.667866, loss1-0.523642, loss2-0.814061, loss3-1.269842
[12 10:55:14] TOTAL/Train 53/56851, lr:[9.990853283143657e-06], loss0-0.630526, loss1-0.528574, loss2-0.613076, loss3-0.805027
[12 10:55:15] TOTAL/Train 54/56851, lr:[9.990677384742573e-06], loss0-0.718653, loss1-0.480995, loss2-0.721749, loss3-0.346532
[12 10:55:16] TOTAL/Train 55/56851, lr:[9.99050148634149e-06], loss0-0.628368, loss1-0.460246, loss2-0.631809, loss3-1.121712
[12 10:55:17] TOTAL/Train 56/56851, lr:[9.990325587940405e-06], loss0-0.624075, loss1-0.579147, loss2-0.685799, loss3-0.431210
[12 10:55:18] TOTAL/Train 57/56851, lr:[9.990149689539322e-06], loss0-0.717393, loss1-0.523623, loss2-0.600429, loss3-0.342220
[12 10:55:19] TOTAL/Train 58/56851, lr:[9.98997379113824e-06], loss0-0.694251, loss1-0.466759, loss2-0.652093, loss3-0.343158
[12 10:55:20] TOTAL/Train 59/56851, lr:[9.989797892737157e-06], loss0-0.613302, loss1-0.477299, loss2-0.556263, loss3-0.356625
[12 10:55:21] TOTAL/Train 60/56851, lr:[9.989621994336072e-06], loss0-0.632620, loss1-0.474082, loss2-0.559981, loss3-0.668180
